IDENT,LATITUDE,LONGITUDE 
DALAN,6° 28' 8.00" N,99° 39' 20.00" E
EKAVO,11° 37' 36.10" N,99° 30' 22.40" E
GOLUD,6° 17' 6.00" N,102° 16' 39.00" E
LIMLA,15° 46' 5.30" N,98° 35' 49.00" E
MOCHI,14° 36' 3.26" N,101° 39' 34.93" E
PASVA,6° 15' 29.00" N,102° 4' 31.00" E
PIVUT,17° 46' 44.25" N,99° 45' 52.95" E
SARIM,17° 30' 29.97" N,99° 47' 37.09" E
TAVUN,10° 0' 0.00" N,96° 33' 12.00" E
TOPAS,17° 29' 16.19" N,99° 23' 58.16" E
VUTHI,14° 50' 6.95" N,99° 57' 25.34" E
